Participant,Condition,NumbersTotal,ErrorsTotal,ErrorRate,Corrections,Reveals,Country,Sex,NormalVision,NumpadUse,CalcFamiliar,ExpHealthcare,FamiliarPump,TaskDifficult,FocusedOnTask,EffortTask,EnjoyTask,FeelMadeAnError,DidMemoriseNumbers,cheerful,relaxed,active,attentive,alert,energetic,excited,happy,sociable,tired,amicable,exhausted
41,1,93,17,0.18,0,0,UK,male,Yes,rarely used,Yes,No,No,2,4,4,3,5,1,4,3,2,4,3,4,3,4,4,3,3,2
42,2,73,7,0.10,13,8,UK,male,Yes,often used,Yes,No,No,2,4,4,3,3,3,4,4,2,3,2,2,2,3,2,2,3,2
43,2,103,7,0.07,9,0,UK,male,Yes,often used,Yes,No,No,1,3,2,2,4,5,3,4,2,3,3,2,2,3,3,4,5,3
44,1,95,0,0.00,3,0,UK,male,Yes,sometimes used,Yes,No,No,1,4,3,2,2,2,4,4,2,3,2,2,3,4,3,3,3,2
45,2,100,5,0.05,15,0,UK,male,Yes,rarely used,Yes,No,No,2,4,4,3,3,4,4,4,3,4,4,3,3,4,4,2,3,1
46,1,94,3,0.03,4,0,UK,male,Yes,never used,Yes,No,Yes,1,3,3,1,4,3,2,4,2,3,3,3,3,4,4,5,3,3
47,1,95,5,0.05,13,0,UK,male,Yes,sometimes used,Yes,No,No,3,5,5,3,3,3,1,2,4,3,5,2,3,2,1,5,3,3
48,2,62,3,0.05,6,3,UK,male,Yes,sometimes used,Yes,No,No,3,5,4,4,3,4,5,4,3,4,4,3,3,4,4,2,4,1
49,1,55,0,0.00,5,0,India,female,Yes,rarely used,No,No,Yes,2,3,3,3,3,3,4,4,4,4,4,4,3,4,4,2,2,2
50,2,87,8,0.09,4,7,Lithuania,female,Yes,often used,Yes,No,No,2,3,3,3,3,4,2,4,3,3,3,4,3,4,4,3,3,2
51,2,103,6,0.06,0,0,UK,male,Yes,rarely used,Yes,No,No,1,3,3,1,2,4,2,4,2,3,2,2,1,1,2,4,3,2
52,1,83,9,0.11,0,3,UK,male,Yes,often used,Yes,Yes,No,3,5,5,2,5,4,4,3,5,5,5,5,3,4,5,3,5,1
53,1,80,3,0.04,22,0,UK,male,Yes,rarely used,Yes,No,No,1,2,2,2,5,1,2,2,2,2,2,2,2,2,1,5,1,5
54,2,48,7,0.15,1,7,UK,male,Yes,rarely used,Yes,No,Yes,3,4,3,1,5,3,3,5,2,3,2,3,1,2,2,4,4,3
55,1,93,3,0.03,15,0,Italy,male,Yes,often used,Yes,No,No,2,2,2,2,2,1,3,3,3,3,4,3,1,2,3,4,3,4
56,2,83,10,0.12,0,0,UK,male,Yes,rarely used,Yes,No,No,4,4,4,2,4,2,3,3,1,4,3,3,3,3,3,4,3,1
